image_id,difficulty,TP,FP,FN,FN_Details
Image__2023-02-24__10-28-53_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-39-55_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__12-41-14_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__13-18-44_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-10__13-55-51_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-00-06_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2024-01-29__13-07-16_label0_cls0,1,0,1,0,{}
Image__2023-02-22__13-44-43_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-02__14-04-36_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-06__15-20-35_label8_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-48-46_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-31-22_label3_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__13-09-15_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-14__14-12-23_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__13-35-15_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-33-45_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-34-10_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-24__10-28-09_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-09__14-55-53_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__14-13-39_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-28__13-58-03_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-23__14-18-01_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-06__15-22-15_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-28__13-43-54_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-09__14-41-46_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__14-15-04_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2024-04-11__12-30-13_label0_cls0,1,0,1,0,{}
Image__2023-03-13__13-42-56_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-02__14-00-07_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-09__14-43-08_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-43-10_label3_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-23__14-22-32_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-08__10-01-24_label2_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-01__13-27-47_label4_cls0,1,0,1,0,{}
Image__2023-02-22__13-43-10_label2_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__14-10-50_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__12-58-04_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-10__14-00-15_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-28__13-53-29_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-02-08_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__13-29-31_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-10__13-49-15_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-56-26_label6_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-10__13-22-21_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__13-23-09_label3_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-09__14-45-19_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-00-06_label2_cls0,1,0,0,1,{'dirt': 1}
Image__2023-05-24__13-03-49_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-20-59_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-06__15-22-15_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-08__10-01-24_label3_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__14-12-35_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-31-22_label4_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-37-45_label2_cls0,1,0,0,1,{'dirt': 1}
Image__2024-01-29__13-12-22_label2_cls0,1,0,1,0,{}
Image__2023-03-14__14-10-30_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-10__13-26-56_label0_cls0,1,0,1,0,{}
Image__2023-02-27__14-29-06_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-28__14-27-28_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-28__13-49-00_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-12-16__13-30-23_label14_cls0,1,0,1,0,{}
Image__2023-03-10__12-56-01_label0_cls0,1,0,1,0,{}
Image__2023-03-17__13-01-18_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__13-45-54_label5_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-28__13-56-49_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-08__10-04-07_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-05-24__12-35-46_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-16__13-43-13_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__13-49-39_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__12-38-57_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-10__13-59-37_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-05-24__12-43-23_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-43-10_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__14-14-19_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-10__13-46-39_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-08__10-12-11_label2_cls0,1,0,1,0,{}
Image__2023-02-27__14-28-38_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-14__14-11-52_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__12-38-57_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-06__13-54-18_label2_cls0,1,0,1,0,{}
Image__2023-05-24__13-04-43_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-02__13-50-01_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-06__13-34-36_label0_cls0,1,0,1,0,{}
Image__2023-02-22__13-48-46_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__13-21-33_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2024-05-21__12-19-49_label0_cls0,1,0,1,0,{}
Image__2023-03-08__10-36-56_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-06__13-47-55_label0_cls0,1,0,1,0,{}
Image__2023-02-24__10-32-21_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-45-37_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-06__13-40-49_label4_cls0,1,0,1,0,{}
Image__2023-03-08__10-43-11_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__13-50-14_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2024-04-25__13-19-29_label0_cls0,1,0,1,0,{}
Image__2023-03-10__13-54-41_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-02__14-17-43_label0_cls0,1,0,1,0,{}
Image__2023-02-28__14-11-26_label0_cls0,1,0,1,0,{}
Image__2023-02-07__14-38-28_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__13-56-03_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-07__14-41-03_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-23__14-16-45_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__13-26-14_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2024-05-16__12-31-16_label0_cls0,1,0,1,0,{}
Image__2023-02-22__13-40-33_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-24__10-39-20_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-16__14-03-06_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-24__10-34-16_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-24__10-41-27_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-10__13-37-03_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-39-00_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-01__15-22-53_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-40-52_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__13-17-39_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-05-24__12-52-34_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-12-26__12-49-19_label0_cls0,1,0,1,0,{}
Image__2023-03-10__12-56-44_label0_cls0,1,0,1,0,{}
Image__2023-03-16__13-48-51_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-28__13-56-49_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__13-00-17_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-07__14-38-28_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-28__14-19-45_label4_cls0,1,0,1,0,{}
Image__2023-03-13__13-04-10_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-02__14-30-13_label0_cls0,1,0,1,0,{}
Image__2023-03-17__13-13-48_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__14-00-56_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-14__14-22-09_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-14__14-01-24_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__13-24-53_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__13-34-39_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__12-46-12_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__13-15-37_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2024-03-14__12-33-35_label0_cls0,1,0,1,0,{}
Image__2024-04-16__12-14-13_label0_cls0,1,0,1,0,{}
Image__2023-02-22__13-38-13_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__13-39-49_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__13-17-01_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-10__13-13-36_label0_cls0,1,0,1,0,{}
Image__2023-02-27__13-49-39_label2_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-08__10-01-24_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__13-58-30_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__13-05-04_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-10__13-26-56_label2_cls0,1,0,1,0,{}
Image__2023-03-08__10-34-57_label0_cls0,1,0,1,0,{}
Image__2023-02-27__14-07-59_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-45-37_label2_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-24__10-29-28_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-10__13-23-00_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-01-30__15-21-33_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-02__14-19-14_label0_cls0,1,0,1,0,{}
Image__2023-03-10__13-31-01_label0_cls0,1,0,1,0,{}
Image__2023-03-13__13-41-13_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__12-43-41_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-23__14-33-42_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__13-03-49_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-01-30__15-33-50_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__13-19-13_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__14-28-44_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-10__13-21-29_label2_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__14-18-39_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-08__10-06-35_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__12-33-54_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__13-43-58_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-24__10-29-28_label2_cls0,1,0,0,1,{'dirt': 1}
Image__2024-05-21__12-22-37_label0_cls0,1,0,1,0,{}
Image__2023-03-13__13-08-11_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__13-34-39_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-06__15-20-35_label7_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-02__14-00-07_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-06__14-09-52_label1_cls0,1,0,1,0,{}
Image__2023-03-17__13-14-38_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-23__14-21-23_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__13-35-39_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__13-14-38_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__13-09-15_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-05-24__12-26-32_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__13-22-56_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-09__14-52-04_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-08__10-10-19_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-08__10-35-30_label0_cls0,1,0,1,0,{}
Image__2023-02-22__13-47-34_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-10__13-26-21_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-00-06_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-10__13-42-10_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-08__10-01-24_label5_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__13-46-42_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-02__13-50-07_label1_cls0,1,0,1,0,{}
Image__2023-03-17__12-56-53_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2024-02-26__12-38-49_label0_cls0,1,0,1,0,{}
Image__2023-03-15__14-19-47_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-14__14-25-06_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__13-08-56_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-37-45_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-29-37_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-10__13-57-17_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-19-27_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-43-10_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__13-55-36_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-55-48_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__14-29-25_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-10-30__13-22-09_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-23__14-16-19_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-06__13-22-47_label0_cls0,1,0,1,0,{}
Image__2023-03-15__13-43-25_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-05-24__12-51-29_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__13-46-02_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__14-21-02_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__13-03-34_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-01__15-21-13_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__13-24-17_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-25-54_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-23__14-29-47_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-37-12_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-28__13-56-49_label2_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__13-04-10_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2024-04-06__12-41-49_label0_cls0,1,0,1,0,{}
Image__2023-03-14__14-26-22_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__12-47-03_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-01__13-27-47_label3_cls0,1,0,1,0,{}
Image__2023-03-02__14-02-12_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__14-20-21_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-29-06_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-01__13-27-47_label1_cls0,1,0,1,0,{}
Image__2023-02-24__10-32-21_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2024-04-25__13-14-08_label0_cls0,1,0,1,0,{}
Image__2023-03-06__13-36-36_label0_cls0,1,0,1,0,{}
Image__2023-02-27__14-07-59_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__13-47-19_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-29-06_label2_cls0,1,0,0,1,{'dirt': 1}
Image__2024-04-10__12-27-36_label0_cls0,1,0,1,0,{}
Image__2023-02-22__13-43-10_label4_cls0,1,0,0,1,{'dirt': 1}
Image__2024-04-03__13-26-35_label0_cls0,1,0,1,0,{}
Image__2023-03-10__12-54-31_label0_cls0,1,0,1,0,{}
Image__2023-03-02__14-03-34_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-12-16__13-30-23_label8_cls0,1,0,1,0,{}
Image__2023-02-27__13-45-54_label3_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__13-18-06_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-08__10-42-49_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-27-48_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-16__13-41-43_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__13-50-45_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-07-59_label2_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-27-48_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2024-03-18__12-28-18_label0_cls0,1,0,1,0,{}
Image__2023-02-27__14-32-32_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__13-10-45_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-23__14-11-48_label3_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-01__13-31-49_label0_cls0,1,0,1,0,{}
Image__2023-03-09__14-55-24_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-01__13-52-56_label0_cls0,1,0,1,0,{}
Image__2023-02-22__13-57-00_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-12-11__12-26-31_label0_cls0,1,0,1,0,{}
Image__2023-02-27__13-45-54_label4_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-02__14-11-19_label0_cls0,1,0,1,0,{}
Image__2023-03-06__13-22-47_label1_cls0,1,0,1,0,{}
Image__2023-02-27__14-32-32_label3_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__13-13-48_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-05-24__12-58-08_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__13-40-57_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-24__10-33-56_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-28__13-49-38_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-24__10-43-28_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__13-04-52_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-23__14-12-17_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-39-29_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2024-02-26__12-47-14_label0_cls0,1,0,1,0,{}
Image__2023-02-28__13-43-19_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-10-30__13-29-21_label1_cls0,1,0,1,0,{}
Image__2023-03-13__13-03-00_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__13-45-54_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__12-53-33_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__13-49-39_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-14__14-20-45_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__13-02-04_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__13-50-07_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-16__13-56-59_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__12-34-34_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-01__13-27-47_label0_cls0,1,0,1,0,{}
Image__2023-03-01__14-08-02_label0_cls0,1,0,1,0,{}
Image__2023-03-06__14-08-17_label0_cls0,1,0,1,0,{}
Image__2023-02-24__10-26-38_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-32-32_label2_cls0,1,0,0,1,{'dirt': 1}
Image__2023-10-30__13-23-49_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-10__13-26-56_label8_cls0,1,0,1,0,{}
Image__2023-02-27__14-39-31_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__14-27-32_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-26-27_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-37-45_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__13-45-26_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-24__10-28-09_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__13-28-55_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-08__10-27-06_label0_cls0,1,0,1,0,{}
Image__2023-02-27__14-12-32_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-06__14-03-46_label0_cls0,1,0,1,0,{}
Image__2023-02-22__13-41-30_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-45-37_label1_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__13-08-41_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2024-01-23__13-05-58_label0_cls0,1,0,1,0,{}
Image__2023-03-13__13-35-54_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-14__14-25-51_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__12-58-39_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__14-35-59_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__12-49-29_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__13-04-10_label2_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__13-29-36_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__12-56-46_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-28__13-53-29_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-02__14-07-32_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-06__13-27-29_label0_cls0,1,0,1,0,{}
Image__2023-02-27__13-45-54_label2_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-13__12-39-45_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__14-21-38_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-12-16__13-30-23_label3_cls0,1,0,1,0,{}
Image__2024-04-11__12-25-09_label0_cls0,1,0,1,0,{}
Image__2023-03-08__10-06-09_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-27__13-45-54_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-22__13-36-39_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-14__14-19-29_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-17__13-05-04_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-02-24__10-30-18_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-15__13-34-23_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2024-05-17__12-20-31_label0_cls0,1,0,1,0,{}
Image__2023-03-13__13-48-38_label0_cls0,1,0,0,1,{'dirt': 1}
Image__2023-03-08__10-04-29_label0_cls0,1,0,0,1,{'dirt': 1}
